trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,0,-253.1370468514826,"{0: 7, 1: 2, 2: 5, 3: 2, 4: 4}",0
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",35,0,-163.02759468980912,"{0: 19, 1: 3, 2: 11, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",30,0,-133.7303581958567,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-89.12914514458879,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,3,-39.26142093322178,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.01, 'e': 0.951229424500714}",25,1,-106.10421956704691,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 1}",1
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",30,9,-119.42253762378952,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 1}",1
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-59.83998004838048,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-141.39496648530977,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-90.90263091073435,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-55.06056866965682,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,4,-78.33261258225883,"{0: 7, 1: 1, 2: 8, 3: 0, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-99.48373010516067,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
