trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-8.672476873974155,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",20,0,-158.07060837214712,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",30,0,-120.69189155982816,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",20,0,-78.52083603750718,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",25,0,-67.3147890118166,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",20,0,-128.49021468566016,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",20,0,-91.03221677422476,"{0: 12, 1: 6, 2: 0, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-78.8498730919938,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.21079579943077972}",20,0,-89.00092078708806,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.2836621854632263}",20,0,-184.60491846491024,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-185.33502068630895,"{0: 10, 1: 0, 2: 4, 3: 4, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9601702866503661}",35,0,-209.49996500789314,"{0: 15, 1: 8, 2: 9, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,5,2.5704653599953793,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,4,-73.77537100474896,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,12,-31.408016390331955,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",25,0,-163.60908059758194,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,5,-57.03444281655928,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",25,0,-148.54388468969682,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",25,0,-199.84039603309282,"{0: 9, 1: 2, 2: 12, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",25,0,-105.71593562752938,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,0,-136.89500774048912,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-105.50775952528674,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-217.49926704273446,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",35,8,-192.84870126049483,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 3}",1
5,True,"{'a': 0, 'e': 0}",30,0,-248.00457000914142,"{0: 18, 1: 0, 2: 3, 3: 6, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-188.35895615627277,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-73.89145566577022,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-71.5847746565543,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-101.46886915589832,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-85.69997177873074,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
